asia,tub,smoke,lung,bronc,either,xray,dysp,_nsyn_controllable_columns,_nsyn_noisy_injected
no,yes,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,yes,,no,yes,"['asia', 'tub', 'either']",True
,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,yes,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",True
no,no,yes,no,yes,,no,yes,"['asia', 'tub', 'either']",True
no,,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",True
no,no,no,no,no,yes,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,no,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,no,no,no,yes,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,yes,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",True
no,no,no,no,no,yes,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,,yes,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,no,yes,yes,yes,yes,no,yes,"['asia', 'tub', 'either', 'xray']",True
no,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,no,no,no,yes,no,no,"['asia', 'tub', 'either']",True
no,,yes,no,no,no,no,no,"['asia', 'tub', 'either']",True
,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",True
no,no,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,yes,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
yes,no,no,no,yes,no,yes,yes,"['asia', 'tub']",True
no,no,no,no,yes,yes,no,yes,"['asia', 'tub', 'either']",True
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,yes,yes,yes,,yes,yes,"['asia', 'tub', 'either', 'xray']",True
no,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,no,yes,no,no,yes,yes,"['asia', 'tub', 'either']",True
,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,no,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,no,no,no,yes,yes,no,yes,"['asia', 'tub', 'either']",True
,no,yes,yes,no,yes,yes,yes,"['asia', 'tub', 'either']",True
no,yes,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",True
no,no,no,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
no,,yes,no,yes,no,yes,yes,"['asia', 'tub']",True
no,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,no,no,no,yes,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,yes,no,yes,yes,"['asia', 'tub']",False
no,,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
yes,no,no,no,no,no,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,no,yes,no,no,"['asia', 'tub', 'either']",True
no,no,yes,no,yes,yes,no,yes,"['asia', 'tub', 'either']",True
no,no,yes,no,no,no,no,no,"['asia', 'tub', 'either']",False
no,no,yes,no,yes,no,no,yes,"['asia', 'tub', 'either']",False
